GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Less than $10,000","Margin of Error; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Margin of Error; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Margin of Error; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Margin of Error; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Margin of Error; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Margin of Error; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Margin of Error; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Margin of Error; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Margin of Error; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Margin of Error; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Margin of Error; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Margin of Error; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Margin of Error; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Margin of Error; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Margin of Error; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more","Margin of Error; Total: - $200,000 or more"
1400000US06001436800,06001436800,"Census Tract 4368, Alameda County, California",1328,66,104,72,68,56,40,30,4,7,44,35,121,83,3,4,37,28,64,58,162,85,231,93,207,76,82,48,76,50,35,31,50,39
1400000US06001436900,06001436900,"Census Tract 4369, Alameda County, California",1789,79,52,41,34,42,64,53,147,79,94,63,88,58,104,47,32,28,103,58,307,107,221,83,222,77,126,67,51,33,55,49,89,53
1400000US06001437000,06001437000,"Census Tract 4370, Alameda County, California",1240,45,56,38,46,33,66,53,84,40,18,17,71,45,13,14,73,56,16,18,75,46,167,64,139,63,126,66,138,66,51,36,101,63
1400000US06001437101,06001437101,"Census Tract 4371.01, Alameda County, California",1930,86,24,23,29,19,74,54,74,52,2,7,77,56,22,26,63,41,38,35,28,28,180,88,330,105,317,106,145,66,243,75,284,96
1400000US06001437102,06001437102,"Census Tract 4371.02, Alameda County, California",1398,65,89,55,58,38,78,59,23,24,50,44,43,50,30,34,91,52,60,60,109,50,191,93,202,109,135,78,148,80,52,38,39,45
1400000US06001437200,06001437200,"Census Tract 4372, Alameda County, California",2316,118,69,56,111,68,54,38,63,57,109,88,61,48,55,40,45,62,130,76,255,121,183,79,308,123,223,99,125,68,313,137,212,117
1400000US06001437300,06001437300,"Census Tract 4373, Alameda County, California",923,28,30,24,32,32,32,32,64,36,88,48,25,20,47,31,49,37,28,20,18,24,90,50,89,39,131,52,68,38,75,35,57,31
1400000US06001437400,06001437400,"Census Tract 4374, Alameda County, California",909,40,35,22,9,11,21,14,47,32,14,11,55,32,44,36,19,14,57,27,82,39,108,45,171,48,120,39,57,34,50,27,20,18
1400000US06001437500,06001437500,"Census Tract 4375, Alameda County, California",1173,40,106,65,93,65,64,47,48,40,87,57,62,55,103,53,85,54,26,25,116,55,137,66,103,54,86,51,8,13,41,34,8,13
1400000US06001437600,06001437600,"Census Tract 4376, Alameda County, California",892,37,58,29,67,36,27,24,27,24,63,41,32,30,29,27,46,25,11,12,89,45,83,38,129,47,74,39,65,45,82,42,10,12
1400000US06001437701,06001437701,"Census Tract 4377.01, Alameda County, California",1037,58,78,51,101,56,76,56,41,38,68,50,38,40,35,40,66,46,56,48,95,55,180,76,97,57,58,44,0,12,39,30,9,13
1400000US06001437702,06001437702,"Census Tract 4377.02, Alameda County, California",1093,38,50,39,24,27,48,39,48,40,87,62,69,50,123,78,69,55,24,28,86,62,197,81,117,75,98,58,12,19,15,30,26,21
