,Parks and Recreation Facilities,Facility Type,geometry
29,Lowell,Athletic Field,POINT (-122.2827744186271 37.80877954996564)
30,Bella Vista Park,Community Gardens,POINT (-122.2371337219185 37.80036002589873)
31,Athol Plaza,Tennis Court,POINT (-122.2730199996731 37.80505999961946)
32,Tassafaronga,Athletic Field,POINT (-122.2730199996731 37.80505999961946)
33,Dover St Park,Park,POINT (-122.2677646302365 37.84270910025845)
34,Franklin Plaza,Park,POINT (-122.2674302584897 37.81104819559434)
35,Piedmont Plaza Park,Park,POINT (-122.2512025544956 37.82726743645258)
36,Golden Gate,Recreation Center,POINT (-122.2730199996731 37.80505999961946)
37,Beaconsfield Canyon    ,Park,POINT (-122.2730199996731 37.80505999961946)
38,"Marshall, ""John Marshall""",Athletic Field,POINT (-122.1409332444443 37.74680539905393)
39,Fitzgerald Park,Park,POINT (-122.2730199996731 37.80505999961946)
40,Dunsmuir Estate Park,Park,POINT (-122.1377990035664 37.73708459137595)
41,Montclair,Recreation Center,POINT (-122.2124344329921 37.828526809031)
42,Montclair,Athletic Field,POINT (-122.2124344329921 37.828526809031)
43,Oak Park,Park,POINT (-122.2580429590997 37.81905693088788)
44,Fitzgerald Park,Community Gardens,POINT (-122.2822617013488 37.82593674441199)
45,85th Avenue Mini Park,Park,POINT (-122.173824843845 37.75521221860567)
46,Wood Park,Park,POINT (-122.2207589786496 37.79519425242172)
47,Hardy Park & Dog Park,Park,POINT (-122.2571872105397 37.84202012861456)
48,Robin Perry,Athletic Field,POINT (-122.1806938015122 37.80830969702333)
49,Lakeside Park,Park,POINT (-122.2588597277328 37.80795499033483)
50,McCrea Park,Park,POINT (-122.1827721220569 37.79220747654878)
51,Studio One Arts Center,Cultural Arts,POINT (-122.257314508256 37.83331118505225)
52,Tyrone Carney Park,Park,POINT (-122.1782461154399 37.73251517200833)
53,Chabot,Tennis Court,POINT (-122.2730199996731 37.80505999961946)
54,Dolphin Mini Park,Park,POINT (-122.1884799127303 37.75841435504435)
55,Rotary Nature Center,Nature Center,POINT (-122.2579613738367 37.80540587564856)
56,Maxwell Park,Park,POINT (-122.2002615187172 37.78130339209787)
57,Joaquin Miller Dog Play Area,Dog Play Area,POINT (-122.1926909098052 37.81085998742046)
